Size,Sequential Duration (ns),Threaded Duration (ns),BLAS Duration (ns),Seq vs Thread Avg Error,Seq vs BLAS Avg Error,Thread vs BLAS Avg Error,Seq vs Thread Max Error,Seq vs BLAS Max Error,Thread vs BLAS Max Error,Seq GFLOPS,Thread GFLOPS,BLAS GFLOPS
10,958,110917,2.79E+06,0,1.69E-12,1.69E-12,0,7.28E-12,7.28E-12,2.08768,0.0180315,0.00071582
20,12042,183042,2.70E+06,0,0,0,0,0,0,1.32868,0.0874116,0.00592876
30,24000,147916,3042,0,0,0,0,0,0,2.25,0.365072,17.7515
40,62458,252333,19042,0,0,0,0,0,0,2.04938,0.507266,6.72198
50,177500,491084,11334,0,0,0,0,0,0,1.40845,0.509078,22.0575
60,446708,738375,10500,0,0,0,0,0,0,0.967075,0.585069,41.1429
70,745584,741458,12167,0,0,0,0,0,0,0.920084,0.925204,56.382
80,9.44E+05,8.41E+05,11292,0,0,0,0,0,0,1.08432,1.21706,90.6837
90,1.43E+06,1.01E+06,13500,0,0,0,0,0,0,1.02104,1.44738,108
100,1.32E+06,7.38E+05,19625,0,0,0,0,0,0,1.51515,2.71095,101.911
110,2.83E+06,1.27E+06,23750,0,0,0,0,0,0,0.941398,2.0984,112.084
120,3.24E+06,8.68E+05,27417,0,0,0,0,0,0,1.06652,3.98233,126.053
130,4.24E+06,1.11E+06,38875,0,0,0,0,0,0,1.03586,3.97258,113.029
140,4.77E+06,1.41E+06,40417,0,0,0,0,0,0,1.1513,3.89542,135.784
150,5.40E+06,1.35E+06,4.83E+04,0,0,0,0,0,0,1.24928,4.9883,139.896
160,6.55E+06,1.86E+06,4.30E+04,0,0,0,0,0,0,1.24988,4.40568,190.698
170,8.04E+06,1.94E+06,6.16E+04,0,0,0,0,0,0,1.2223,5.06386,159.448
180,9.70E+06,2.11E+06,6.85E+04,0,0,0,0,0,0,1.20223,5.53452,170.173
190,1.16E+07,2.27E+06,7.93E+04,0,0,0,0,0,0,1.1873,6.05172,173.008
200,1.40E+07,3.19E+06,8.66E+04,0,0,0,0,0,0,1.1423,5.01299,184.794
210,1.65E+07,3.54E+06,1.13E+05,0,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,1.12286,5.23781,163.309
220,1.88E+07,4.17E+06,1.15E+05,0,0,0,0,0,0,1.13091,5.10828,185.318
