Size,Sequential Duration (ns),Threaded Duration (ns),BLAS Duration (ns),Seq vs Thread Avg Error,Seq vs BLAS Avg Error,Thread vs BLAS Avg Error,Seq vs Thread Max Error,Seq vs BLAS Max Error,Thread vs BLAS Max Error,Seq GFLOPS,Thread GFLOPS,BLAS GFLOPS
10,5797,1.85E+06,48749,0,1.49E-12,1.49E-12,0,7.28E-12,7.28E-12,0.345006,0.00107892,0.0410265
20,7193,1.19E+06,7194,0,2.92E-12,2.92E-12,0,2.18E-11,2.18E-11,2.22438,0.0134027,2.22408
30,19975,1.21E+06,16971,0,4.32E-12,4.32E-12,0,4.37E-11,4.37E-11,2.70338,0.0446956,3.1819
40,46723,1.26E+06,17111,0,5.41E-12,5.41E-12,0,4.37E-11,4.37E-11,2.73955,0.101678,7.48057
50,98196,1.55E+06,25771,0,6.98E-12,6.98E-12,0,8.73E-11,8.73E-11,2.54593,0.161373,9.70083
60,160214,1.43E+06,29962,0,8.20E-12,8.20E-12,0,8.73E-11,8.73E-11,2.69639,0.3016,14.4183
70,250239,1.37E+06,195065,0,1.12E-11,1.12E-11,0,1.46E-10,1.46E-10,2.74138,0.501116,3.51678
80,386079,1.45E+06,59155,0,1.57E-11,1.57E-11,0,2.04E-10,2.04E-10,2.65231,0.706498,17.3105
90,532674,1.69E+06,56222,0,1.98E-11,1.98E-11,0,2.33E-10,2.33E-10,2.73713,0.861155,25.9329
100,807287,2.01E+06,75638,0,2.08E-11,2.08E-11,0,2.91E-10,2.91E-10,2.47743,0.992983,26.4417
110,1.04E+06,3.26E+06,77314,0,1.97E-11,1.97E-11,0,2.91E-10,2.91E-10,2.55705,0.816682,34.431
120,1.40E+06,2.85E+06,77314,0,2.00E-11,2.00E-11,0,2.91E-10,2.91E-10,2.47557,1.21065,44.7008
130,1.74E+06,3.10E+06,218042,0,1.89E-11,1.89E-11,0,2.91E-10,2.91E-10,2.52995,1.41818,20.1521
140,2.15E+06,3.98E+06,177325,0,2.56E-11,2.56E-11,0,4.07E-10,4.07E-10,2.55525,1.37887,30.9488
